Id;Nazwa;Rodzaj
1;N Biuro zarządu;Obiekt
2;F15 Ujęcie wody Dolina Radości;Obiekt
3;G06 Pompownia wody "Matemblewo;Obiekt
4;G07 Pompownia wody "Nowolipie";Obiekt
5;G08 Przepompownia wody "Matemb;Obiekt
6;F29 Ujęcie wody "OŚ Wschód";Obiekt
7;H21 Hydrofornia "Guderskiego";Obiekt
8;H12 Hydrofornia "Niedźwiednik";Obiekt
9;F30 Ujęcie wody "Stocznia Wisł;Obiekt
10;Uczniowska - poletka;Obiekt
11;33 Przepompownia ścieków PS. O;Obiekt
12;47 Przepompownia ścieków PS-3;Obiekt
13;48 Przepompownia ścieków ul. I;Obiekt
14;49 Przepompownia ścieków "Kolo;Obiekt
15;50 Przepompownia ścieków "Żuła;Obiekt
16;51 Przepompownia ścieków "Jasi;Obiekt
17;F16 Ujęcie wody Matarnia;Obiekt
18;G09 Pompownia wody Spacerowa;Obiekt
19;H13 Hydrofornia Kołobrzeska;Obiekt
20;H14 Hydrofornia Bajki;Obiekt
21;52 Przepompownie ścieków P-11;Obiekt
22;53 Przepompownie ścieków P-9 W;Obiekt
23;54 Przepompownie ścieków P-9a;Obiekt
24;55 Przepompownie ścieków P-6 W;Obiekt
25;56 Przepompownie ścieków PS-1;Obiekt
26;57 Przepompownie ścieków PS-2;Obiekt
27;58 Przepompownie ścieków PS-1;Obiekt
28;I08 Zbiornik wody "Stara Dolin;Obiekt
29;59 Przepompownia ścieków PS-1;Obiekt
30;F17 Ujęcie wody Złota Karczma;Obiekt
31;F18 Ujęcie wody Suchanino;Obiekt
32;F19 Ujęcie wody Chełm;Obiekt
33;G10 Pompownia wody Serbska;Obiekt
34;F31 Ujęcie wody "Szadółki";Obiekt
35;H16 Hydrofornia Głęboka;Obiekt
36;F20 Ujęcie wody Kołobrzeska;Obiekt
37;G11 Pompownia wody "Borkowska";Obiekt
38;H18 Hydrofornia "Nowiec";Obiekt
39;60 Przepompownia ścieków "Cent;Obiekt
40;H19 Hydrofornia i zbiornik"Gór;Obiekt
41;Wdzydzka;Obiekt
42;I07 Zbiornik wody "Stara Oruni;Obiekt
43;Miejsca użytkowania;Obiekt
44;I06 Zbiornik wody "Stary Sobie;Obiekt
45;I05 Zbiornik wody "Wysoki Dwór;Obiekt
46;A Sieć wodociągowa;Obiekt
47;B Sieć kanalizacyjna;Obiekt
48;C Przyłącze wodociągowe;Obiekt
49;D Przyłącze kanalizacyjne;Obiekt
50;E Linie energetyczne;Obiekt
51;F Ujęcia wody;Obiekt
52;G Przepompownie wody;Obiekt
53;H Hydrofornie;Obiekt
54;I Zbiorniki wody;Obiekt
55;J Oczyszczalnie ścieków;Obiekt
56;K Przepompownie ścieków;Obiekt
57;L Pozostałe;Obiekt
58;Magistrala wodociągowa "Strasz;Obiekt
59;Sieć wodociągowa - rozdzielcza;Obiekt
60;01 Sieć kanalizacyjna;Obiekt
61;02 Kolektor sanitarny Morena;Obiekt
62;03 Kolektor tłoczny "Motława W;Obiekt
63;04 Rurociąg tłoczny "Ołowianka;Obiekt
64;01 Przyłącza;Obiekt
65;F01 Ujęcie wody "Lipce";Obiekt
66;F02 Ujęcie wody "Czarny Dwór";Obiekt
67;F03 Ujęcie wody "Zaspa";Obiekt
68;F04 Ujęcie wody "Straszyn";Obiekt
69;F05 Ujęcie wody "Pręgowo";Obiekt
70;F06 Ujęcie wody "Osowa";Obiekt
71;F07 Ujęcie wody "Polanki";Obiekt
72;F08 Ujęcie wody "Grodza Kamien;Obiekt
73;F09 Ujęcie wody "Krakowiec" i;Obiekt
74;F10 Ujęcie wody "Jasień";Obiekt
75;F11 Ujęcie wody "Klukowo";Obiekt
76;F12 Ujęcie wody "Łostowice";Obiekt
77;F13 Ujęcie wody "Sobieszewo";Obiekt
78;F14 Ujęcie wody "Świbno";Obiekt
79;G01 Przepompownia wody "Sobies;Obiekt
80;G02 Przepompownia wody "Ptasia;Obiekt
81;G03 Stacja podnoszenia ciśnien;Obiekt
82;G04 Pompownia wody "Św Wojciec;Obiekt
83;G05 Pompownia wody "Kiełpinek";Obiekt
84;H05 Hydrofornia "Baczyńskiego";Obiekt
85;H06 Hydrofornia "Czerwony Dwór;Obiekt
86;H07 Hydrofornia "Bydgoska" 23;Obiekt
87;H08 Hydrofornia "Jana Pawła II;Obiekt
88;H09 Hydrofornia "Bitwy Oliwski;Obiekt
89;H10 Hydrofornia "Karpacka" 56;Obiekt
90;H11 Hydrofornia "Żywiecka" 94;Obiekt
91;I01 Zbiornik wody "Migowo" nr;Obiekt
92;I02 Zbiornik wody "Sobieski" 1;Obiekt
93;I03 Zbiornik wody "Orunia" 16;Obiekt
94;I04 Zbiornik wody "Cyganka" 17;Obiekt
95;J01 Oczyszczalnia ścieków Zasp;Obiekt
96;J02 Oczyszczalnia ścieków "Wsc;Obiekt
97;J03 Kanał odpływowy oczyszczal;Obiekt
98;01 Przepompownia ścieków Ołowi;Obiekt
99;02 Przepompownia ścieków Motła;Obiekt
