DzialkaId;Numer;Kwakt;Kwzrob;Pow;lokalizacja;uzbrojenie;ksztalt;sasiedztwo;dostDoDrogi;rodzNaw;UliceSloId;NadzorKonserwSloId;ObrebId
3;3 test 1;kw1;NULL;NULL;4444;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3
4;4 test;kw4;kw5;NULL;1	qw	qw;NULL;NULL;asdasdasd;NULL;NULL;NULL;NULL;4
5;5 test ;qweqwe;NULL;NULL;5cadasd;zxcadc;NULL;asdasdasd;NULL;NULL;NULL;NULL;5
7;6 test;NULL;NULL;NULL;7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6
8;7 test;NULL;NULL;NULL;777;NULL;NULL;NULL;NULL;NULL;1288;NULL;7
9;8  test;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8
10;9  test;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9
11;10  test;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10
12;11  test;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;886;NULL;11
13;12  test;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;12
14;13  test;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13
15;test Raf;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13
16;1376/1;GD1G/00253514/7;GD1G/00051864/9;0.013;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1
17;453/9;GD1G/00253511/6;GD1G/00047927/8;0.0025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2
18;120/1 ;GD1G/00101406/7; GD1G/00050407/1;0.0511;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8
19;131/3;GD1G/00101406/7;GD1G/00050407/1;0.1384;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8
20;1;GD1G/00239822/5;GD1G/00239822/5;0.2006;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10
21;539;GD1G/00101406/7;GD1G/00012031/6;0.2497;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;11
22;19/6;GD1G/00101406/7; GD1G/00046564/8;0.0411;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;17
23;30/1;GD1G/00101406/7; GD1G/00017133/6;0.0392;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;17
24;27/4;GD1G/00101406/7;GD1G/00046564/8;0.0478;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;17
25;222/7;GD1G/00253490/2;GD1G/00027644/4;0.1379;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;19
26;15/1 ;GD1G/00101406/7; GD1G/00050709/8;0.0525;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;21
27;17/2;GD1G/00101406/7;GD1G/00050174/8;0.046;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;21
28;56/2;GD1G/00101406/7; GD1G/00048341/3;0.0491;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;32
29;279/4;GD1G/00101406/7; GD1G/00054546/5;0.0442;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;32
30;279/2;GD1G/00101406/7; GD1G/00054546/5;0.04;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;32
