ObrebId;Nazwa;Numer;GminaSloId
1;Osowa;0001;1
2;Barniewice;0002;1
3;Klukowo;0003;1
4;004;0004;1
5;005;0005;1
6;006;0006;1
7;007;0007;1
8;008;0008;1
9;010;0010;1
10;011;0011;1
11;012;0012;1
12;013;0013;1
13;014;0014;1
14;015;0015;1
15;016;0016;1
16;017;0017;1
17;018;0018;1
18;019;0019;1
19;020;0020;1
20;021;0021;1
21;022;0022;1
22;Rębiechowo;0023;1
23;Bysewo;0024;1
24;Firoga;0025;1
25;026;0026;1
26;027;0027;1
27;028;0028;1
28;029;0029;1
29;030;0030;1
30;031;0031;1
31;032;0032;1
32;033;0033;1
33;034;0034;1
34;Kokoszki;0035;1
35;Kiełpino Górne;0036;1
36;037;0037;1
37;038;0038;1
38;039;0039;1
39;040;0040;1
40;041;0041;1
41;042;0042;1
42;043;0043;1
43;044;0044;1
44;045;0045;1
45;046;0046;1
46;Smęgorzyno;0047;1
47;Szadółki;0048;1
48;Jasień;0049;1
49;050;0050;1
50;051;0051;1
51;052;0052;1
52;053;0053;1
53;054;0054;1
54;055;0055;1
55;056;0056;1
56;057;0057;1
57;058;0058;1
58;059;0059;1
59;060;0060;1
60;061;0061;1
61;Zabornia;0063;1
62;064;0064;1
63;065;0065;1
64;066;0066;1
65;067;0067;1
66;068;0068;1
67;069;0069;1
68;070;0070;1
69;071;0071;1
70;072;0072;1
71;073;0073;1
72;Łostowice;0074;1
73;Ujeścisko;0075;1
74;077;0077;1
75;078;0078;1
76;079;0079;1
77;080;0080;1
78;081;0081;1
79;082;0082;1
80;083;0083;1
81;086;0086;1
82;089;0089;1
83;090;0090;1
84;091;0091;1
85;092;0092;1
86;Maćkowy;0094;1
87;098;0098;1
88;099;0099;1
89;100;0100;1
90;101;0101;1
91;102;0102;1
92;109;0109;1
93;110;0110;1
94;111;0111;1
95;112;0112;1
96;113;0113;1
97;114;0114;1
98;115;0115;1
99;116;0116;1
100;124;0124;1
101;125;0125;1
102;126;0126;1
103;127;0127;1
104;128;0128;1
105;129;0129;1
106;130;0130;1
107;134;0134;1
108;136;0136;1
109;Górki Wschodnie;0139;1
110;Sobieszewo;0140;1
111;Komary;0141;1
112;Świbno;0142;1
113;Przegalina;0143;1
114;220S;0220;1
115;221S;0221;1
116;250S;0250;1
117;251S;0251;1
118;253S;0253;1
119;254S;0254;1
120;256S;0256;1
121;257S;0257;1
122;258S;0258;1
123;259S;0259;1
124;260S;0260;1
125;264S;0264;1
126;265S;0265;1
127;266S;0266;1
128;267S;0267;1
129;268S;0268;1
130;269S;0269;1
131;270S;0270;1
132;271S;0271;1
133;272S;0272;1
134;273S;0273;1
135;275S;0275;1
136;278S;0278;1
137;300S;0300;1
138;301S;0301;1
139;303S;0303;1
140;307S;0307;1
141;308S;0308;1
142;309S;0309;1
143;311S;0311;1
144;312S;0312;1
145;313S;0313;1
146;314S;0314;1
147;315S;0315;1
148;316S;0316;1
149;317S;0317;1
150;318S;0318;1
151;319S;0319;1
152;320S;0320;1
153;322S;0322;1
154;324S;0324;1
155;326S;0326;1
156;334S;0334;1
157;034S;0534;1
158;170S;0670;1
159;203S;0703;1
160;204S;0704;1
161;209S;0709;1
162;210S;0710;1
163;211S;0711;1
164;212S;0712;1
165;213S;0713;1
166;214S;0714;1
167;215S;0715;1
168;216S;0716;1
169;218S;0718;1
170;219S;0719;1
171;255S;0755;1
172;261S;0761;1
173;262S;0762;1
174;263S;0763;1
175;062;0062;1
176;144;0144;1
177;009;0009;1
178;177S;0677;1
179;321S;0321;1
180;252S;0252;1
181;310S;0310;1
182;274S;0274;1
183;Żukczyn;0001;2
184;Roszkowo;0002;2
185;Wiślina;0003;2
186;Krępiec;0004;2
187;Bogatka;0005;2
188;Makry Dwór;0006;2
189;Lędowo;0007;2
190;Żuławka;0008;2
191;Przejazdowo;0009;2
192;Bystra;0010;2
193;Dziewięć Włók;0011;2
194;Jagatowo;0012;2
195;Rokitnica;0013;2
196;Borkowo;0014;2
197;Łęgowo;0015;2
198;Straszyn;0016;2
199;Juszkowo;0017;2
200;Wiślinka;0018;2
201;Radunica;0019;2
202;Cieplewo;0020;2
203;Babidół;0001;3
204;Bielkówko;0002;3
205;Buszkowy Górne;0003;3
206;Czapielsk;0004;3
207;Jankowo Gdańskie;0005;3
208;Kolbudy;0006;3
209;Kowale;0007;3
210;Lisewiec;0008;3
211;Lublewo Gdańskie;0009;3
212;Łapio;0010;3
213;Otomin;0011;3
214;Pręgowo Górne;0012;3
215;Banino;0001;4
216;Barniewice;0002;4
217;Borkowo;0003;4
218;Chwaszczyno;0004;4
219;Czaple;0005;4
220;Leźno;0006;4
221;Łapino Kartuskie;0007;4
222;Małkowo;0008;4
223;Miszewko;0009;4
224;Miszewo;0010;4
225;Niestępowo;0011;4
226;Glincz;0012;4
227;Otomin;0013;4
228;Pępowo;0014;4
229;Przyjaźń;0015;4
230;Rębiechowo;0016;4
231;Skrzeszewo Żukowskie;0017;4
232;Sulmin;0018;4
233;Tuchom;0019;4
234;Żukowo G;0020;4
